th,month.collected,year.collected,researchers,time,transect,depth,quadrat.id,quadrat.dist,salinity.ppt,sediment.type,zm.perc.cover,zm.veg.density0.0625m2,zm.repro.density0.0625m2,canopy.height.cm,WD.field.qual.absent,WD.field.qual.trace,WD.field.qual.low,WD.field.est.absent,WD.field.est.trace,WD.field.est.low,WD.field.est.mid,WD.field.est.high,wd.prevalence,day.processed,month.processed,year.processed,zm.density.core,leaf.weight.g,stem.sheath.weight.g,root.rhiz.weight.g,scan.id,no.leaves,sheath.length.cm,L1.length.cm,L1.area.cm2,L1.lesion.area.cm2,L1.lesion.no,L1.grazing.area.cm2,L1.grazing.no,L1.broken.tip,L2.length.cm,L2.area.cm2,L2.lesion.area.cm2,L2.lesion.no,L2.grazing.area.cm2,L2.grazing.no,L2.broken.tip,L3.length.cm,L3.area.cm2,L3.lesion.area.cm2,L3.lesion.no,L3.grazing.area.cm2,L3.grazing.no,L3.broken.tip,L4.length.cm,L4.area.cm2,L4.lesion.area.cm2,L4.lesion.no,L4.grazing.area.cm2,L4.grazing.no,L4.broken.tip,scan.notes,scoring.notes
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,8,34,29,sandy,15,2,0,60,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,1,0.8438,0.3832,0.3365,C-8-7.17,4,24.4,5.98,3.82,0,0,0,0,N,51.98,23.169,0,0,0.013,1,N,90.428,40.651,0.013,2,1.363,3,N,83.138,41.24,2.092,10,1.015,15,N,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,9,35,29,sandy,30,6,0,70,0,0,1,0,0,4,1,0,1,27,july,2017,1,0.6367,0.2129,0.1862,C-9-7.17,3,17.9,5.45,2.104,0,0,0,0,N,43.143,17.991,0.02,2,0.004,1,N,62.751,26.47,0.133,4,0.062,2,N,NA,NA,NA,NA,NA,NA,NA,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,10,38,29,sandy,25,4,2,75,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,2,1.4695,0.7566,0.5001,C-10-7.17,3,24.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,11,43,29,sandy,25,6,1,75,0,1,0,1,3,0,1,0,0.8,27,july,2017,1,0.5255,0.2035,0.1621,C-11-7.17,4,15.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,july,2017,"TE,JC,FS,AB",10:00,C,deep,12,44,29,sandy,10,3,1,60,0,0,1,NA,NA,NA,NA,NA,NA,27,july,2017,2,0.9595,0.4561,0.3265,C-12-7.17,4,18.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,1,2,36,sandy,60,11,0,92,1,0,0,1,4,0,0,0,0.8,18,october,2017,1,0.5753,0.1921,0.0865,A-1-10.17,3,24,14.601,5.101,0.022,1,0,0,Y,71.315,25.817,0.013,1,0.037,1,N,68.981,25.756,0.132,9,0.821,6,N,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,2,7,36,sandy,70,21,0,95,0,1,0,2,2,1,0,0,0.6,18,october,2017,4,0.7938,0.4468,0.099,A-2-10.17,3,24.3,3.439,1.134,0,0,0,0,N,43.655,16.447,0.007,1,2.992,2,Y,68.353,25.08,0.003,3,1.92,3,N,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,3,8,36,sandy,65,17,0,90,0,1,0,2,2,1,0,0,0.6,18,october,2017,2,0.6027,0.1597,0.2392,A-3-10.17,4,22,1.009,0.289,0,0,0,0,N,44.315,13.998,0.042,1,0.24,1,Y,73.076,23.721,0.143,6,1.628,2,Y,78.47,27.931,2.472,15,2.081,8,Y,L4 outside sheath,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,4,16,36,sandy,55,12,0,74,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,3,0.4308,0.1734,0.444,A-4-10.17,4,13.3,8.296,2.575,0,0,0,0,N,27.615,8.484,0,0,0.007,2,N,35.394,11.519,0,0,0.093,2,N,30.88,10.596,0.027,6,1.339,7,Y,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,5,18,36,sandy,60,16,0,83,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.6679,0.2089,0.0482,A-5-10.17,4,22.5,1.639,0.492,0,0,0,0,N,50.543,18.876,0.01,2,0.053,3,N,70.853,27.668,0.056,6,0.005,1,N,80.765,34.445,0.146,5,0.163,7,N,Labelled A4 in scan,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,6,25,36,sandy,55,13,0,92,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,3,0.8154,0.3981,0.1687,A-6-10.17,4,9.2,7.767,2.077,0,0,0,0,N,23.977,7.102,0.07,6,0.096,2,N,24.044,6.53,0.01,1,2.349,8,N,20.563,6.47,0.191,6,0.001,1,N,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,7,26,36,sandy,45,12,0,54,0,1,0,1,2,2,0,0,0.8,18,october,2017,2,1.1179,0.5244,0.4447,A-7-10.17,3,26.5,64.336,28.55,0.096,2,0.185,3,N,81.335,39.319,0.256,9,0.149,2,Y,28.11,14.926,0.948,4,0.595,5,Y,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,8,33,36,sandy,45,8,0,104,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,3,0.7168,0.3927,0.2776,A-8-10.17,4,23.7,10.403,3.317,0,0,0,0,N,75.425,27.793,0.004,1,0.009,1,N,73.571,27.542,0.247,12,0.004,1,N,41.614,16.572,5.153,6,0.158,1,Y,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,9,38,36,sandy,60,15,0,96,0,1,0,0,2,3,0,0,1,18,october,2017,2,0.4235,0.2776,0.3016,A-9-10.17,4,22,2.814,0.709,0,0,0.003,1,N,38.659,15.096,0.001,1,0.205,2,N,54.891,22.442,0.003,1,0.012,1,Y,48.114,21.792,1.431,9,5.304,3,Y,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,10,40,36,sandy,45,13,0,98,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.6239,0.2991,0.0172,A-10-10.17,4,23,32.827,12.539,0,0,0.013,2,N,70.37,28.488,0.074,4,0.512,2,Y,82.304,35.156,0.382,6,0.014,2,N,58.186,26.407,0.068,12,0.805,3,Y,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,11,44,36,sandy,50,13,0,98,0,1,0,1,1,2,1,0,0.8,18,october,2017,3,1.1826,0.6536,0.2925,A-11-10.17,4,22.5,21.274,7.898,0.003,1,0.015,1,N,74.413,31.731,0.232,13,0.531,2,N,68.497,26.925,0.255,7,0.92,6,N,21.272,9.682,0.321,6,0.388,3,Y,.,.
17,october,2017,"JC,KO,FS,AB",9:15,A,shallow,12,46,36,sandy,65,16,0,85,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.4207,0.2925,0.1711,A-12-10.17,4,17.5,4.178,1.441,0,0,0,0,N,28.114,11.009,0.01,3,0.036,1,Y,45.118,16.808,0.068,4,0.587,2,Y,45.918,20.551,1.211,9,1.28,2,Y,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,1,5,36,sandy w/ shell fragments,45,13,0,68,0,1,0,0,3,2,0,0,1,18,october,2017,1,0.19,0.1688,0.1039,C-1-10.17,2,20.9,16.486,4.983,0,0,0,0,Y,79.315,24.426,0.045,6,0.003,1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L2 leaf folded in scan--> area slightly off,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,2,7,36,sandy w/ shell fragments,35,6,0,72,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.1842,0.0592,0.0643,C-2-10.17,3,13.5,8.337,1.955,0,0,0,0,N,48.562,12.161,0.01,3,0.001,1,Y,68.672,19.034,0.135,7,0.16,1,Y,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,3,10,36,sandy w/ shell fragments,25,4,0,71,0,1,0,3,1,1,0,0,0.4,18,october,2017,3,0.2907,0.1408,0.3718,C-3-10.17,3,20.5,45.934,14.267,0.022,2,0.033,1,N,35.218,11.643,0.01,2,0.601,2,Y,5.491,2.226,0,0,1.162,1,Y,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,4,18,36,sandy w/ shell fragments,30,5,0,74,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,3,0.464,0.3145,0.0525,C-4-10.17,2,12.5,19.938,6.041,0,0,0.117,1,N,62.954,19.777,0.03,4,0.08,1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,5,19,36,sandy w/ shell fragments,55,15,0,74,0,1,0,1,1,2,1,0,0.8,18,october,2017,2,0.6021,0.3721,0.1472,C-5-10.17,3,10.5,9.942,2.326,0,0,0.037,3,N,24.007,5.793,1.262,7,0.045,3,Y,25.403,7.142,0.22,12,0.15,3,N,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,6,22,36,sandy w/ shell fragments,50,14,0,78,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.5124,0.2378,0.1815,C-6-10.17,3,23.1,32.267,10.466,0,0,0.003,1,N,70.76,25.072,0.153,3,0.026,3,N,81.959,30.074,2.105,8,4.682,9,Y,NA,NA,NA,NA,NA,NA,NA,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,7,26,36,sandy w/ shell fragments,70,24,0,68,1,0,0,1,4,0,0,0,0.8,18,october,2017,1,0.1964,0.1004,0.1058,C-7-10.17,4,15.5,4.059,1.246,0,0,0,0,N,47.069,16.085,0,0,0,0,N,51.975,17.928,0.143,8,0.201,1,N,17.063,5.962,0.534,6,0.185,1,Y,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,8,34,36,sandy w/ shell fragments,15,1,0,72,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.31,0.0721,0.0495,C-8-10.17,4,15.4,5.035,1.351,0,0,0,0,N,45.766,12.99,0,0,0,0,N,54.31,16.434,0,0,0.002,1,N,61.1,19.733,0.123,7,0.539,2,N,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,9,35,36,sandy w/ shell fragments,35,6,0,72,0,1,0,2,2,1,0,0,0.6,18,october,2017,2,0.6946,0.2604,0.1081,C-9-10.17,4,21.3,0.193,17.374,0,0,0.006,1,N,138.307,104.32,0.013,2,0.732,4,N,59.34,24.299,0.917,4,0.601,6,Y,81.829,35.212,2.485,11,3.516,10,Y,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,10,38,36,sandy w/ shell fragments,50,12,0,88,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.7075,0.2101,0.2223,C-10-10.17,4,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Leaf 3 outside sheath (not labelled in scan),.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,11,43,36,sandy w/ shell fragments,30,5,0,62,0,1,0,2,3,0,0,0,0.6,18,october,2017,1,0.1739,0.1065,0.0055,C-11-10.17,3,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",11:30,C,deep,12,44,36,sandy w/ shell fragments,35,6,0,74,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.7611,0.1861,0.2078,C-12-10.17,4,21.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,1,9,36,sandy,65,18,0,85,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.8292,0.334,0.1967,B-1-10.17,3,18.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,2,10,36,sandy,45,7,0,91,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.6044,0.2664,0.0882,B-2-10.17,4,23.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,3,15,36,sandy,70,17,0,101,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.8194,0.2873,0.049,B-3-10.17,4,23.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,4,17,36,sandy,50,12,0,98,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,3,0.7343,0.3065,0.166,B-4-10.17,2,25.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,5,22,36,sandy,40,6,0,93,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,4,0.9954,0.5278,0.1535,B-5-10.17,3,21.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,6,25,36,sandy,45,6,0,88,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.822,0.1592,0.5509,B-6-10.17,3,20.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,7,28,36,sandy,60,14,0,95,0,1,0,NA,NA,NA,NA,NA,NA,18,october,2017,2,0.1729,0.1064,0.0648,B-7-10.17,3,16.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,october,2017,"JC,KO,FS,AB",13:15,B,mid,8,31,36,sandy,50,8,0,100,1,0,0,NA,NA,NA,NA,NA,NA,18,october,2017,1,0.2562,0.1398,0.0563,B-8-10.17,3,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
